#
# lemniscate: y(n) = (parameter "scale_coef" = 0.07715167498104596, X-coord of center = 0.0, Y-coord of center = 0.0, rotation angle of axes = 1.8884018465806474)
# Noise strength: 0.0
#
# LW_PARAMETER_SETS
(seq_type=lemniscate)
#index_of_time_step	input_0,input_1,input_2,input_3,input_4	output_0,output_1	complexity_0,complexity_1
# LW_SAMPLES
26	26.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2779502170285773,0.29870654729162394	8.650040460429498E-4,5.1670148453419884E-5	
27	27.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.277714654286979,0.28989412333133785	7.916813229540409E-4,2.093227918725793E-5	
28	28.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.27718602068749315,0.28109030415788555	6.032773855031426E-4,1.3941626626434722E-5	
29	29.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2761181023808546,0.272335480721419	8.323555650402437E-4,5.760052381953429E-5	
30	30.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2747774958223574,0.2636224809552205	8.119729590113645E-4,9.0819407253806E-5	
31	31.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.27317249923672565,0.2549500321157365	5.37078278993186E-4,8.237459698257066E-5	
32	32.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.27105001159302555,0.24638996161412766	7.818810852028846E-4,1.5292926458962408E-4	
33	33.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.26870651012267194,0.23789146044062498	7.3850488472188E-4,1.739476659813055E-4	
34	34.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.26604594509067486,0.22948260935240414	5.380773882969758E-4,1.5121941338802625E-4	
35	35.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.26299123256062634,0.2212120072301571	7.112110596949051E-4,2.2789905125564225E-4	
36	36.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2597758360223031,0.213000636423824	5.548315063261811E-4,1.9748028188773525E-4	
37	37.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.25609788723621185,0.20498439817635117	6.23236256042714E-4,2.5436387477420497E-4	
38	38.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2522589279076291,0.19704816237770034	6.235627902594909E-4,2.7513500768228116E-4	
39	39.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.24809154208711223,0.18927511417662043	4.894370344256382E-4,2.4319004639292152E-4	
40	40.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.24368624230062572,0.1816392873303459	5.66340457903769E-4,3.0040895237629095E-4	
41	41.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.23904481899484417,0.17413964916508054	4.7403748526467226E-4,2.734100358145475E-4	
42	42.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.23413573724958486,0.16681739198455894	5.037819587727921E-4,3.1356966575293854E-4	
43	43.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2290375408157257,0.15962046374848882	4.567731280776255E-4,3.027099291952329E-4	
44	44.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.22369233123533708,0.15261032241219175	4.361278351293074E-4,3.121158442245253E-4	
45	45.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.21815643429676557,0.14574437542733454	4.3770050471234057E-4,3.3098125121291955E-4	
46	46.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.21244776747279895,0.13902684568941376	3.634572435780026E-4,2.9261159837629114E-4	
47	47.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.20649498390609494,0.1325190234176138	4.1688662813249566E-4,3.581247130572396E-4	
48	48.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.2005008261154862,0.12605148920718537	2.854909666421268E-4,2.499955274923582E-4	
49	49.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.19415362993042679,0.11992772537260427	3.944126183554053E-4,3.840584372188649E-4	
50	50.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.18780643374536732,0.11380396153802312	3.5303839445072205E-4,3.4377037584736037E-4	
51	51.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.18124074090229236,0.10792132118828741	2.184966580155434E-4,2.4112348484547907E-4	
52	52.0,0.07715167498104596,0.0,0.0,1.8884018465806474	-0.1745231611047771,0.10220629672837722	3.7038361245578244E-4,4.087393746709522E-4	
